paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_o,c_cr
1,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1.0,1e-05,1e-05,1e-05
2,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1.0,1e-05,1e-05,1.0
3,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1.0,1e-05,0.001,1e-05
4,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1.0,1e-05,0.001,1.0
5,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1.0,1e-05,0.1,1e-05
6,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1.0,1e-05,0.1,1.0
7,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,10.0,1e-05,1e-05,1e-05
8,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,10.0,1e-05,1e-05,1.0
9,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,10.0,1e-05,0.001,1e-05
10,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,10.0,1e-05,0.001,1.0
11,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,10.0,1e-05,0.1,1e-05
12,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,10.0,1e-05,0.1,1.0
13,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1000.0,1e-05,1e-05,1e-05
14,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1000.0,1e-05,1e-05,1.0
15,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1000.0,1e-05,0.001,1e-05
16,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1000.0,1e-05,0.001,1.0
17,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1000.0,1e-05,0.1,1e-05
18,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,1000.0,1e-05,0.1,1.0
19,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,100000.0,1e-05,1e-05,1e-05
20,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,100000.0,1e-05,1e-05,1.0
21,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,100000.0,1e-05,0.001,1e-05
22,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,100000.0,1e-05,0.001,1.0
23,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,100000.0,1e-05,0.1,1e-05
24,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,1.0,100000.0,1e-05,0.1,1.0
25,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,1.0,1e-05,1e-05,1e-05
26,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,1.0,1e-05,1e-05,1.0
27,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,1.0,1e-05,0.001,1e-05
28,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,1.0,1e-05,0.001,1.0
29,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,1.0,1e-05,0.1,1e-05
30,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,1.0,1e-05,0.1,1.0
31,20,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,10.0,10.0,1e-05,1e-05,1e-05
